Name,Team,Age,Position,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
Justin Njinmah,"Werder Bremen, ",23,",  FW  ",10(14),1013	,0.2	,0.1	,0.3	,-	,0.2	,0.3	,-	,-	,6.58
Castello Lukeba,"RBL, ",21,",  D(C)  ",24(8),2186	,0.6	,0.4	,0.3	,0.5	,2.9	,0.1	,0.4	,-	,6.57
Felix Agu,"Werder Bremen, ",24,",  D(LR),M(LR)  ",19(5),1623	,1.9	,0.5	,0.6	,0.2	,1.6	,0.5	,0.3	,-	,6.57
Benedikt Gimber,"FC Heidenheim, ",27,",  D(C),DMC  ",24,2027	,1.7	,0.7	,1.7	,0.5	,4.1	,0.7	,0.7	,1	,6.57
Moritz Jenz,"Wolfsburg, ",25,",  D(C)  ",21(1),1747	,1.5	,1.2	,1.2	,0.7	,4.1	,0.3	,0.8	,1	,6.57
Silvan Widmer,"Mainz, ",31,",  D(CR),M(R)  ",13(7),1246	,1.2	,0.8	,0.5	,0.1	,1.5	,0.6	,0.3	,-	,6.57
Anthony Jung,"Werder Bremen, ",32,",  D(CL),M(L)  ",30(1),2584	,1.2	,0.8	,0.5	,0.5	,3.1	,0.5	,0.5	,-	,6.56
Silas Katompa Mvumpa,"Stuttgart, ",25,",  M(CLR),FW  ",8(19),890	,0.2	,-	,0.5	,-	,0.1	,0.3	,-	,-	,6.55
Patrick Osterhage,"Bochum, ",24,",  DMC  ",21(3),1864	,1.6	,1.1	,0.9	,0.1	,1.2	,0.8	,0.4	,-	,6.55
Dominik Kohr,"Mainz, ",30,",  D(C),DMC  ",27(4),2190	,2.1	,1.4	,1.5	,0.2	,1.7	,0.7	,0.2	,-	,6.55
Lennard Maloney,"FC Heidenheim, ",24,",  D(C),DMC  ",27(2),2294	,1.5	,0.9	,1.5	,0.1	,2.8	,1.2	,0.3	,1	,6.55
Josip Juranovic,"Union Berlin, ",28,",  D(LR),M(R)  ",14(7),1291	,1	,0.6	,0.2	,0.1	,1.2	,0.5	,0.1	,-	,6.55
Robert Skov,"Hoffenheim, ",28,",  D(L),M(LR)  ",14(11),1265	,1	,0.4	,0.6	,-	,0.9	,0.8	,0.2	,-	,6.55
Josha Vagnoman,"Stuttgart, ",23,",  D(LR),M(R)  ",12(6),1183	,1.6	,0.1	,0.6	,0.2	,0.7	,0.8	,0.3	,-	,6.54
Jan Thielmann,"FC Koln, ",22,",  D(R),M(CLR),FW  ",20(2),1590	,1.3	,0.4	,1.2	,-	,1.1	,0.5	,0.3	,-	,6.54
Robin Knoche,"Union Berlin, ",32,",  D(C)  ",20(4),1917	,1.4	,0.5	,0.4	,0.5	,2.9	,0.5	,0.8	,1	,6.54
Omar Traoré,"FC Heidenheim, ",26,",  D(R)  ",29(2),2478	,1.9	,1.3	,1	,0.2	,1.5	,0.8	,0.2	,-	,6.54
Luca Waldschmidt,"FC Koln, ",28,",  AM(CLR),FW  ",14(8),1151	,0.9	,0.3	,0.9	,-	,0.3	,0.5	,0.1	,-	,6.54
Marvin Schwäbe,"FC Koln, ",29,",  GK  ",34,3060	,-	,-	,-	,-	,0.7	,-	,-	,-	,6.54
Matthias Bader,"Darmstadt, ",27,",  D(R),M(R)  ",21(3),1810	,2.1	,1	,0.7	,0.1	,0.7	,1.3	,0.2	,-	,6.54
Jamie Leweling,"Stuttgart, ",23,",  M(CR),FW  ",17(17),1523	,0.5	,0.1	,0.6	,-	,0.4	,0.4	,-	,-	,6.53
Ansgar Knauff,"Eintracht Frankfurt, ",22,",  M(CLR)  ",24(7),2122	,1.4	,0.6	,1	,-	,0.4	,0.5	,0.1	,-	,6.53
Kevin Paredes,"Wolfsburg, ",21,",  D(L),M(L)  ",15(13),1430	,1.5	,0.8	,0.4	,0.1	,0.9	,0.5	,0.1	,-	,6.53
Rafael Borré,"Werder Bremen, ",28,",  AM(C),FW  ",11(8),992	,0.5	,0.1	,0.9	,0.1	,0.5	,0.6	,0.1	,-	,6.53
Kevin Trapp,"Eintracht Frankfurt, ",34,",  GK  ",32,2880	,-	,-	,-	,-	,0.6	,-	,-	,-	,6.53
Rubén Vargas,"Augsburg, ",25,",  AM(CLR),FW  ",25(6),1977	,0.7	,0.2	,1.1	,-	,0.5	,0.5	,0.1	,-	,6.53
Marvin Pieringer,"FC Heidenheim, ",24,",  AM(C),FW  ",18(13),1523	,0.6	,0.4	,1.2	,-	,0.7	,0.4	,0.1	,-	,6.52
Milos Veljkovic,"Werder Bremen, ",28,",  D(C),DMC  ",21(2),1921	,1.3	,0.7	,0.4	,0.3	,2.4	,0.7	,0.9	,-	,6.52
Marcel Schuhen,"Darmstadt, ",31,",  GK  ",31,2790	,-	,0.1	,-	,-	,0.8	,0.1	,-	,-	,6.51
Manuel Neuer,"Bayern, ",38,",  GK  ",23,2054	,-	,-	,-	,-	,0.8	,-	,-	,-	,6.51
Mads Pedersen,"Augsburg, ",27,",  D(LR),M(CL)  ",19(8),1784	,2.4	,0.7	,1.3	,0.1	,1.6	,0.7	,0.1	,-	,6.51
Merlin Röhl,"Freiburg, ",22,",  M(C)  ",17(7),1487	,0.9	,0.4	,1.5	,-	,0.9	,0.5	,0.1	,-	,6.51
Edimilson Fernandes,"Mainz, ",28,",  D(CR),M(CR)  ",13(8),1284	,1.2	,1	,0.5	,0.2	,2.5	,0.4	,0.3	,-	,6.50
Eric Choupo-Moting,"Bayern, ",35,",  M(CLR),FW  ",7(20),704	,0.6	,0.3	,0.4	,-	,0.2	,0.3	,-	,-	,6.50
Kiliann Sildillia,"Freiburg, ",22,",  D(CR),M(R)  ",20(7),1805	,1.6	,0.8	,1.1	,0.1	,2.3	,0.6	,0.6	,-	,6.50
Christopher Trimmel,"Union Berlin, ",37,",  D(CR),M(R)  ",19(7),1653	,0.9	,0.5	,0.5	,-	,2	,0.8	,0.1	,-	,6.49
Yannick Gerhardt,"Wolfsburg, ",30,",  D(L),M(CL)  ",18(7),1636	,1.2	,0.3	,0.7	,0.1	,1.3	,0.9	,0.1	,-	,6.49
Ridle Baku,"Wolfsburg, ",26,",  D(R),M(CR)  ",22(11),2014	,1.1	,0.6	,0.7	,0.1	,1.1	,0.8	,-	,-	,6.49
Koen Casteels,"Wolfsburg, ",32,",  GK  ",25,2250	,0.1	,-	,-	,-	,1	,-	,-	,-	,6.48
Janis Blaswich,"RBL, ",33,",  GK  ",21,1890	,-	,-	,-	,-	,1	,-	,-	,-	,6.48
Lucas Tousart,"Union Berlin, ",27,",  DMC  ",18(5),1578	,1.5	,1.1	,1.3	,-	,1.7	,0.9	,0.4	,-	,6.48
Hugo Larsson,"Eintracht Frankfurt, ",20,",  M(C)  ",21(8),1886	,1.1	,1	,0.6	,0.1	,1	,0.4	,0.2	,-	,6.47
Nick Woltemade,"Werder Bremen, ",22,",  AM(C),FW  ",12(18),1182	,1.1	,0.2	,0.7	,-	,0.5	,0.2	,-	,-	,6.47
Gonçalo Paciência,"Bochum, ",29,",  FW  ",6(13),646	,0.4	,-	,0.5	,-	,0.4	,0.2	,-	,-	,6.47
Christoph Baumgartner,"RBL, ",24,",  AM(CLR),FW  ",11(21),1152	,0.8	,0.2	,0.8	,-	,0.4	,0.8	,-	,-	,6.46
Tobias Kempe,"Darmstadt, ",35,",  M(CLR)  ",15(9),1351	,0.8	,0.4	,0.6	,-	,0.5	,0.7	,0.2	,-	,6.46
Leonardo Bittencourt,"Werder Bremen, ",30,",  M(CLR),FW  ",19(10),1585	,1.4	,0.4	,1.2	,-	,0.2	,0.8	,-	,-	,6.45
Manuel Gulde,"Freiburg, ",33,",  D(C)  ",23(4),2048	,1.4	,0.9	,0.6	,0.4	,2.9	,0.2	,0.5	,-	,6.45
Olivier Deman,"Werder Bremen, ",24,",  M(CLR),FW  ",14(15),1359	,1	,0.5	,0.9	,-	,1.4	,0.7	,0.3	,1	,6.45
Sebastiaan Bornauw,"Wolfsburg, ",25,",  D(C)  ",16(4),1432	,1.3	,0.9	,1.4	,0.6	,3.9	,0.3	,0.6	,2	,6.45
Nathan Ngoumou,"Borussia M.Gladbach, ",24,",  AM(LR)  ",14(18),1384	,1.2	,0.2	,0.4	,-	,0.5	,0.6	,-	,-	,6.45
Aurélio Buta,"Eintracht Frankfurt, ",27,",  D(R),M(R)  ",20(10),1748	,1.3	,0.5	,0.8	,0.3	,1.1	,0.6	,0.2	,-	,6.44
Dejan Ljubicic,"FC Koln, ",26,",  M(CLR)  ",24(2),2057	,1.7	,0.7	,1.2	,-	,0.4	,0.9	,0.1	,-	,6.44
Philipp Max,"Eintracht Frankfurt, ",30,",  D(L),M(L)  ",17(6),1360	,1.1	,0.3	,0.3	,0.2	,0.7	,0.3	,-	,-	,6.44
Jonas Föhrenbach,"FC Heidenheim, ",28,",  D(CL)  ",32(1),2790	,1.3	,0.9	,0.5	,0.2	,1.8	,0.5	,0.6	,1	,6.43
Marius Bülter,"Hoffenheim, ",31,",  D(R),M(CLR),FW  ",15(15),1350	,0.6	,0.3	,0.4	,-	,0.6	,0.4	,0.1	,-	,6.43
Karim Onisiwo,"Mainz, ",32,",  AM(CLR),FW  ",17(7),1498	,0.7	,0.1	,1.3	,-	,0.3	,0.2	,0.2	,-	,6.43
Joe Scally,"Borussia M.Gladbach, ",21,",  D(CLR),M(LR)  ",25(6),2238	,1.3	,0.6	,0.5	,0.1	,2.3	,0.5	,0.4	,-	,6.43
Salih Özcan,"Borussia Dortmund, ",26,",  M(C)  ",13(10),1180	,0.9	,0.7	,1	,-	,0.7	,0.3	,0.1	,-	,6.43
Arne Engels,"Augsburg, ",20,",  M(C)  ",13(19),1400	,1	,0.5	,0.8	,0.1	,0.6	,0.5	,-	,-	,6.42
Elvis Rexhbeçaj,"Augsburg, ",26,",  M(C)  ",24(1),1995	,1.2	,0.8	,0.8	,-	,0.8	,0.7	,0.3	,-	,6.42
Rani Khedira,"Union Berlin, ",30,",  D(C),DMC  ",18(2),1350	,1.8	,1.1	,1.3	,-	,1.8	,0.5	,0.3	,-	,6.42
Lukas Klostermann,"RBL, ",28,",  D(CLR),M(R)  ",16(9),1432	,0.6	,0.5	,0.4	,0.4	,2.4	,0.4	,0.5	,-	,6.41
Youssoufa Moukoko,"Borussia Dortmund, ",19,",  FW  ",4(16),615	,0.2	,0.1	,0.4	,-	,0.2	,0.2	,0.1	,-	,6.41
Kevin Kampl,"RBL, ",33,",  M(CLR)  ",14(12),1361	,0.7	,0.4	,0.6	,-	,0.4	,0.4	,0.3	,-	,6.41
Christoph Zimmermann,"Darmstadt, ",31,",  D(C)  ",12(7),1214	,1.7	,1.1	,0.7	,0.3	,3.5	,1.1	,0.7	,1	,6.41
Janik Haberer,"Union Berlin, ",30,",  M(CLR),FW  ",14(7),1224	,1.7	,0.6	,1	,-	,0.9	,1.1	,0.2	,-	,6.41
Anthony Rouault,"Stuttgart, ",23,",  D(C)  ",11(11),1009	,1	,0.4	,0.4	,0.1	,1.1	,0.4	,0.4	,-	,6.41
Fabian Holland,"Darmstadt, ",33,",  D(L),DMC,M(L)  ",23,1847	,2	,1	,1.5	,0.1	,1.1	,0.7	,0.5	,-	,6.41
Aster Vranckx,"Wolfsburg, ",21,",  M(C)  ",12(12),1143	,1.3	,0.6	,1.2	,0.1	,1.2	,0.5	,0.3	,-	,6.40
Brenden Aaronson,"Union Berlin, ",23,",  AM(CLR),FW  ",14(16),1267	,1.1	,0.1	,0.5	,-	,0.1	,0.5	,-	,-	,6.40
Takuma Asano,"Bochum, ",29,",  AM(CLR),FW  ",26(3),2005	,0.6	,0.1	,0.5	,-	,0.3	,0.6	,0.1	,-	,6.40
Marvin Friedrich,"Borussia M.Gladbach, ",28,",  D(C)  ",17(7),1563	,1	,0.7	,0.4	,0.2	,3.6	,0.3	,0.8	,-	,6.40
Karim Adeyemi,"Borussia Dortmund, ",22,",  AM(LR),FW  ",10(11),915	,0.8	,0.1	,1	,-	,0.2	,0.6	,-	,-	,6.40
Emir Karic,"Darmstadt, ",27,",  D(L),M(LR)  ",18(9),1783	,1.7	,0.5	,0.6	,0.1	,1.5	,0.4	,0.4	,-	,6.40
Benedict Hollerbach,"Union Berlin, ",23,",  FW  ",15(13),1283	,0.6	,0.1	,1	,-	,0.1	,0.5	,-	,-	,6.39
Jeong Woo-Yeong,"Stuttgart, ",24,",  AM(CR),FW  ",5(21),621	,0.6	,0.3	,0.2	,-	,0.2	,0.1	,-	,-	,6.39
Adrian Beck,"FC Heidenheim, ",27,",  AM(C)  ",11(12),975	,1	,0.2	,0.6	,-	,0.7	,0.7	,-	,-	,6.38
Tom Krauß,"Mainz, ",23,",  DMC  ",13(16),1342	,2	,0.6	,1.1	,-	,0.9	,1.3	,0.1	,-	,6.38
Jordy Makengo,"Freiburg, ",22,",  D(L)  ",10(10),1021	,0.9	,0.6	,0.7	,0.1	,1.8	,0.2	,0.2	,-	,6.38
Oscar Vilhelmsson,"Darmstadt, ",20,",  FW  ",16(10),1375	,0.5	,0.1	,1.2	,-	,0.7	,0.1	,0.2	,-	,6.38
Cédric Zesiger,"Wolfsburg, ",26,",  D(C)  ",18(5),1635	,0.8	,0.7	,1	,0.7	,3.7	,0.5	,0.9	,-	,6.38
Niklas Dorsch,"Augsburg, ",26,",  DMC  ",16(5),1390	,1.7	,0.8	,0.9	,0.1	,1.3	,1	,0.4	,-	,6.37
Steffen Tigges,"FC Koln, ",25,",  FW  ",6(19),717	,0.4	,-	,0.3	,-	,0.4	,0.2	,0.1	,-	,6.37
Václav Cerny,"Wolfsburg, ",26,",  AM(R)  ",12(10),925	,0.4	,0.4	,0.4	,-	,0.2	,0.5	,-	,-	,6.37
Kevin Sessa,"FC Heidenheim, ",24,",  D(R),M(CR)  ",7(23),1002	,0.6	,0.1	,0.5	,-	,0.5	,0.3	,-	,-	,6.37
Christopher Antwi-Adjei,"Bochum, ",30,",  AM(CLR)  ",11(14),1214	,0.8	,0.1	,0.5	,-	,0.4	,0.4	,0.1	,-	,6.36
Kevin Volland,"Union Berlin, ",31,",  AM(CLR),FW  ",17(9),1354	,0.8	,0.2	,1.1	,-	,0.4	,0.5	,-	,-	,6.36
Norman Theuerkauf,"FC Heidenheim, ",37,",  D(CL),DMC  ",14(11),1258	,1	,0.6	,0.5	,0.1	,0.7	,0.4	,0.2	,-	,6.35
Umut Tohumcu,"Hoffenheim, ",19,",  M(C)  ",12(8),1017	,0.8	,0.3	,0.5	,-	,0.5	,0.7	,0.1	,-	,6.35
Noah Weißhaupt,"Freiburg, ",22,",  M(L)  ",6(18),745	,0.4	,0.3	,0.3	,-	,0.5	,0.3	,-	,-	,6.35
Danny da Costa,"Mainz, ",30,",  D(R),M(R)  ",9(10),827	,0.9	,0.8	,0.4	,0.1	,1.2	,0.5	,0.2	,-	,6.35
Sargis Adamyan,"FC Koln, ",31,",  AM(CLR),FW  ",8(12),798	,0.7	,0.3	,0.9	,-	,0.3	,0.3	,0.1	,-	,6.33
Tomás Cvancara,"Borussia M.Gladbach, ",23,",  FW  ",7(14),892	,0.2	,0.1	,0.4	,-	,0.4	,0.1	,-	,-	,6.33
Cristian Gamboa,"Bochum, ",34,",  D(R),M(R)  ",12(10),1187	,1.1	,0.7	,0.6	,-	,1.3	,0.9	,0.3	,-	,6.33
Ludovic Ajorque,"Mainz, ",30,",  FW  ",15(11),1357	,0.1	,0.2	,1.1	,-	,0.4	,0.3	,0.1	,-	,6.32
Aïssa Laïdouni,"Union Berlin, ",27,",  DMC  ",10(13),1067	,0.9	,0.5	,0.9	,-	,0.5	,0.3	,0.1	,-	,6.32
Adam Hlozek,"Leverkusen, ",21,",  AM(CL),FW  ",5(18),451	,0.4	,0.1	,0.3	,-	,-	,0.2	,-	,-	,6.32
Linton Maina,"FC Koln, ",25,",  M(CLR),FW  ",21(10),1906	,0.6	,0.2	,0.3	,-	,0.4	,0.6	,-	,-	,6.31
Nicolas Seiwald,"RBL, ",23,",  DMC  ",6(15),708	,1.6	,0.4	,0.2	,-	,0.7	,0.4	,0.1	,1	,6.31
Benno Schmitz,"FC Koln, ",29,",  D(CLR)  ",13(9),1155	,1.2	,0.3	,0.4	,-	,1.2	,0.8	,0.2	,-	,6.31
Christoph Klarer,"Darmstadt, ",24,",  D(C)  ",28(2),2358	,1.2	,0.7	,1	,0.3	,3	,0.4	,0.7	,-	,6.30
Marius Wolf,"Borussia Dortmund, ",29,",  D(R),M(CLR)  ",12(10),1163	,0.9	,0.4	,0.5	,0.1	,0.7	,0.5	,0.1	,-	,6.29
Faride Alidou,"FC Koln, ",22,",  AM(LR)  ",14(12),1287	,0.4	,0.3	,0.8	,-	,0.5	,0.5	,0.1	,-	,6.29
Klaus Gjasula,"Darmstadt, ",34,",  D(C),DMC  ",17(5),1367	,2	,0.9	,1	,0.1	,1.7	,0.6	,0.6	,-	,6.29
Denis Huseinbasic,"FC Koln, ",23,",  M(C)  ",18(8),1627	,1.5	,0.5	,1.1	,-	,0.4	,0.4	,-	,-	,6.29
Rasmus Carstensen,"FC Koln, ",23,",  D(R)  ",18(5),1662	,2	,0.9	,1	,0.1	,2.1	,1.1	,0.4	,-	,6.29
Tiago Tomás,"Wolfsburg, ",22,",  AM(CLR),FW  ",11(15),1031	,0.2	,0.1	,0.5	,-	,0.3	,0.2	,-	,-	,6.29
Moritz Broschinski,"Bochum, ",23,",  FW  ",14(12),1244	,0.4	,-	,1.2	,-	,0.2	,0.2	,0.1	,-	,6.29
Erhan Masovic,"Bochum, ",25,",  D(C),DMC  ",24(5),2218	,2.2	,0.9	,0.8	,0.2	,2.4	,1.1	,0.3	,1	,6.28
Jérôme Roussillon,"Union Berlin, ",31,",  D(L),M(L)  ",8(15),744	,0.7	,0.2	,0.2	,0.1	,1	,0.2	,0.2	,-	,6.28
Alex Král,"Union Berlin, ",26,",  DMC  ",13(11),1366	,0.8	,0.5	,0.7	,-	,1.2	,0.5	,0.2	,-	,6.27
Matús Bero,"Bochum, ",28,",  M(CLR),FW  ",20(4),1669	,1.3	,0.5	,1.6	,-	,1	,0.8	,0.1	,-	,6.27
Marco Richter,"Mainz, ",26,",  M(CLR),FW  ",7(13),713	,0.5	,0.1	,0.5	,-	,0.1	,0.4	,-	,-	,6.26
Christian Groß,"Werder Bremen, ",35,",  D(C),DMC  ",8(12),792	,1.1	,0.7	,0.8	,0.2	,1.4	,0.7	,0.3	,-	,6.26
Nikola Dovedan,"FC Heidenheim, ",30,",  AM(CLR),FW  ",5(16),648	,0.7	,-	,0.5	,-	,0.1	,1	,-	,-	,6.25
Lukas Daschner,"Bochum, ",25,",  AM(C),FW  ",3(17),527	,0.5	,0.1	,0.2	,-	,0.1	,0.3	,-	,-	,6.23
Sven Michel,"Augsburg, ",33,",  AM(L),FW  ",5(17),575	,0.3	,-	,0.5	,-	,0.2	,0.2	,-	,-	,6.22
Mikkel Kaufmann,"Union Berlin, ",23,",  FW  ",4(14),481	,0.3	,0.1	,0.4	,-	,0.2	,0.4	,-	,-	,6.22
Dion Beljo,"Augsburg, ",22,",  FW  ",3(23),564	,-	,-	,0.3	,-	,0.2	,0.1	,-	,-	,6.21
Matej Maglica,"Darmstadt, ",25,",  D(C)  ",21(5),1705	,1.3	,0.8	,1.2	,0.6	,3.4	,0.5	,0.4	,-	,6.20
Denis Thomalla,"FC Heidenheim, ",31,",  M(CL),FW  ",3(18),435	,0.4	,0.2	,0.3	,-	,0.5	,0.3	,0.1	,-	,6.18
Florian Pick,"FC Heidenheim, ",28,",  AM(CLR)  ",1(21),316	,0.2	,0.1	,0.3	,-	,-	,-	,-	,-	,6.16
Mathias Honsak,"Darmstadt, ",27,",  AM(CLR),FW  ",10(13),1019	,0.6	,0.3	,0.6	,-	,1	,0.6	,0.1	,-	,6.16
Dawid Kownacki,"Werder Bremen, ",27,",  AM(CLR),FW  ",3(19),368	,-	,-	,0.4	,-	,-	,0.1	,-	,-	,6.14
Finn Becker,"Hoffenheim, ",24,",  M(C)  ",5(17),596	,0.5	,-	,0.3	,-	,0.5	,0.6	,-	,-	,6.13
Bartol Franjic,"Darmstadt, ",24,",  D(L),DMC  ",14(6),1233	,0.8	,1.5	,1	,0.1	,1.4	,1.1	,0.2	,-	,6.12
